 
 Analytic ODE test problem:
    reltol =  1.00000E-06,  abstol =  1.00000E-10
 
      t               u                      v                      w
    ----------------------------------------------------------------------------
   0.000 |   0.00000 +  2.00000i  -0.00000 + -0.00000i   0.00000 +  1.00000i
   1.000 |  -0.36788 +  2.00000i   0.00000 + -0.36788i   1.00000 +  0.36788i
   2.000 |  -0.27067 +  2.00000i   0.00000 + -0.54134i   2.00000 +  0.13534i
   3.000 |  -0.14936 +  2.00000i   0.00000 + -0.44808i   3.00000 +  0.04979i
   4.000 |  -0.07326 +  2.00000i   0.00000 + -0.29305i   4.00000 +  0.01831i
   5.000 |  -0.03369 +  2.00000i   0.00000 + -0.16845i   5.00000 +  0.00674i
    ----------------------------------------------------------------------------
    Max-norm of the error is  2.04107E-06
    ----------------------------------------------------------------------------
 
Current time                  = 5.08528049117309
Steps                         = 95
Error test fails              = 4
NLS step fails                = 0
Initial step size             = 6.58037005653823e-06
Last step size                = 0.190358476382774
Current step size             = 0.190358476382774
Last method order             = 5
Current method order          = 5
Stab. lim. order reductions   = 0
RHS fn evals                  = 146
NLS iters                     = 143
NLS fails                     = 0
NLS iters per step            = 1.50526315789474
LS setups                     = 0
Jac fn evals                  = 0
LS RHS fn evals               = 113
Prec setup evals              = 0
Prec solves                   = 0
LS iters                      = 113
LS fails                      = 0
Jac-times setups              = 0
Jac-times evals               = 113
LS iters per NLS iter         = 0.79020979020979
Jac evals per NLS iter        = 0
Prec evals per NLS iter       = 0
Root fn evals                 = 0
